学号,姓名,班级
202407234301, ,3班
202407234302, ,3班
202407234303, ,3班
202407234304, ,3班
202407234305, ,3班
202407234306, ,3班
202407234307, ,3班
202407234308, ,3班
202407234309, ,3班
202407234310, ,3班
202407234311, ,3班
202407234312, ,3班
202407234313, ,3班
202407234314, ,3班
202407234315, ,3班
202407234316, ,3班
202407234317, ,3班
202407234318, ,3班
202407234319, ,3班
202407234320, ,3班
202407234321, ,3班
202407234322, ,3班
202407234323, ,3班
202407234324, ,3班
202407234325, ,3班
202407234326, ,3班
202407234327, ,3班
202407234328, ,3班
202407234329, ,3班
202407234330, ,3班
202407234331, ,3班
202407234332, ,3班
202407234333, ,3班
202407234334, ,3班
202407234335, ,3班
202407234336, ,3班
202407234337, ,3班
202407234401, ,4班
202407234402, ,4班
202407234403, ,4班
202407234404, ,4班
202407234405, ,4班
202407234406, ,4班
202407234407, ,4班
202407234408, ,4班
202407234409, ,4班
202407234410, ,4班
202407234411, ,4班
202407234412, ,4班
202407234413, ,4班
202407234414, ,4班
202407234415, ,4班
202407234416, ,4班
202407234417, ,4班
202407234418, ,4班
202407234419, ,4班
202407234420, ,4班
202407234421, ,4班
202407234422, ,4班
202407234423, ,4班
202407234424, ,4班
202407234425, ,4班
202407234426, ,4班
202407234427, ,4班
202407234428, ,4班
202407234429, ,4班
202407234430, ,4班
202407234431, ,4班
202407234432, ,4班
202407234433, ,4班
202407234434, ,4班
202407234435, ,4班
202407234436, ,4班
202407234437, ,4班
